,NAME,TYPE,GROUP,REGION,CCY,LAST PRICE,PAYOUT
VT,Vanguard Total World Stock Inde,ETF,CORE,US_MARKET,USD,76.03,0.0
VTI,Vanguard Total Stock Market ETF,ETF,CORE,US_MARKET,USD,152.71,0.0
VIG,Vanguard Div Appreciation ETF,ETF,CORE,US_MARKET,USD,120.41,0.0
VEA,Vanguard FTSE Developed Markets,ETF,CORE,US_MARKET,USD,41.69,0.0
VWO,Vanguard FTSE Emerging Markets ,ETF,CORE,US_MARKET,USD,41.44,0.0
BND,Vanguard Total Bond Market ETF,ETF,CORE,US_MARKET,USD,83.89,0.0
UCI,E-TRACS USB Bloomberg Commodity,ETF,CORE,US_MARKET,USD,14.24,0.0
GLD,SPDR Gold Trust,ETF,CORE,US_MARKET,USD,141.28,0.0
SWED-A.ST,Swedbank AB ser A,EQUITY,SWEDISH,SE_MARKET,SEK,139.95,0.76839995
VOLV-B.ST,"Volvo, AB ser. B",EQUITY,SWEDISH,SE_MARKET,SEK,143.4,0.32009998
LIFCO-B.ST,Lifco AB ser.B,EQUITY,SWEDISH,SE_MARKET,SEK,463.0,0.2831
VIT-B.ST,Vitec Software Group AB ser. B,EQUITY,SWEDISH,SE_MARKET,SEK,133.5,0.3438
IAR-B.ST,I.A.R Systems Group AB ser. B,EQUITY,SWEDISH,SE_MARKET,SEK,234.0,0.7599
SINCH.ST,Sinch AB,EQUITY,SWEDISH,SE_MARKET,SEK,141.6,0.0
ELAN-B.ST,Elanders AB ser. B,EQUITY,SWEDISH,SE_MARKET,SEK,81.0,0.35799998
ALFA.ST,Alfa Laval AB,EQUITY,SWEDISH,SE_MARKET,SEK,190.4,0.42049998
INDT.ST,Indutrade AB,EQUITY,SWEDISH,SE_MARKET,SEK,285.6,0.38169998
HUSQ-B.ST,Husqvarna AB ser. B,EQUITY,SWEDISH,SE_MARKET,SEK,81.2,0.8364
LAMM-B.ST,Lammhults Design Group AB ser. ,EQUITY,SWEDISH,SE_MARKET,SEK,53.4,0.303
CLAS-B.ST,Clas Ohlson AB ser. B,EQUITY,SWEDISH,SE_MARKET,SEK,96.8,4.3705997
MCAP.ST,MedCap AB,EQUITY,SWEDISH,SE_MARKET,SEK,128.0,0.0
BRE2.ST,Bredband2 i Skandinavien AB,EQUITY,SWEDISH,SE_MARKET,SEK,1.094,1.0204
INWI.ST,Inwido AB,EQUITY,SWEDISH,SE_MARKET,SEK,54.5,0.4673
BETS-B.ST,Betsson AB ser. B,EQUITY,SWEDISH,SE_MARKET,SEK,50.9,0.52779996
SHOT.ST,Scandic Hotels Group AB,EQUITY,SWEDISH,SE_MARKET,SEK,77.8,0.4637
KNOW.ST,Knowit AB,EQUITY,SWEDISH,SE_MARKET,SEK,182.6,0.4866
EVO.ST,Evolution Gaming Group AB,EQUITY,SWEDISH,SE_MARKET,SEK,199.0,0.4013
SEB-A.ST,Skandinaviska Enskilda Banken s,EQUITY,SWEDISH,SE_MARKET,SEK,91.6,0.6985
ASPIRE.ST,Aspire Global plc,EQUITY,SWEDISH,SE_MARKET,SEK,31.7,0.3149
PDX.ST,Paradox Interactive AB,EQUITY,SWEDISH,SE_MARKET,SEK,137.0,0.31350002
CTM.ST,Catena Media P.L.C,EQUITY,SWEDISH,SE_MARKET,SEK,44.22,0.0
HM-B.ST,"Hennes & Mauritz AB, H & M ser.",EQUITY,SWEDISH,SE_MARKET,SEK,188.96,1.343
VITR.ST,Vitrolife AB,EQUITY,SWEDISH,SE_MARKET,SEK,167.3,0.2724
BOL.ST,Boliden AB,EQUITY,SWEDISH,SE_MARKET,SEK,244.8,0.3877
KAMBI.ST,Kambi Group Plc,EQUITY,SWEDISH,SE_MARKET,SEK,170.4,0.0
HUM.ST,Humana AB,EQUITY,SWEDISH,SE_MARKET,SEK,52.2,0.1902
SCA-A.ST,Svenska Cellulosa AB SCA ser. A,EQUITY,SWEDISH,SE_MARKET,SEK,90.8,0.3543
ATCO-A.ST,Atlas Copco AB ser. A,EQUITY,SWEDISH,SE_MARKET,SEK,313.9,0.22659999
WISE.ST,Wise Group AB,EQUITY,SWEDISH,SE_MARKET,SEK,37.9,1.8041
GLOBAL.ST,Global Gaming 555 AB,EQUITY,SWEDISH,SE_MARKET,SEK,6.91,0.0
NTU1L.VS,Novaturas,EQUITY,BALTIC,VS_MARKET,EUR,6.75,2.7368
PZV1L.VS,Pieno Zvaigzdes,EQUITY,BALTIC,VS_MARKET,EUR,0.94,0.0
NCN1T.TL,Nordecon,EQUITY,BALTIC,TL_MARKET,EUR,0.98,1.2
GRG1L.VS,Grigeo,EQUITY,BALTIC,VS_MARKET,EUR,1.335,0.3429
TKM1T.TL,Tallinna Kaubamaja Grupp,EQUITY,BALTIC,TL_MARKET,EUR,8.08,1.0441
