Date,ALFA.ST,APG1L.VS,ASPIRE.ST,ATCO-A.ST,BETS-B.ST,BND,BOL.ST,BRE2.ST,CLAS-B.ST,CTM.ST,ELAN-B.ST,EVO.ST,EXI,GLD,GLOBAL.ST,GNTX,GRG1L.VS,GZE1R.RG,HLT.PA,HM-B.ST,HPT,HUM.ST,HUSQ-B.ST,IAR-B.ST,IBM,IDU,IGV,IHI,INDT.ST,INWI.ST,ITA,IXC,IXG,IXJ,IYE,IYG,IYH,IYM,IYT,IYW,IYZ,JXI,KAMBI.ST,KIE.L,KNOW.ST,KXI,LAMM-B.ST,LI.PA,LIFCO-B.ST,MCAP.ST,MCD,MDARA.RG,MDT,MMM,MSFT,MXI,NCN1T.TL,NTU1L.VS,O,OLF1R.RG,PDX.ST,PEZ,PFE,PSI,PTH,PUI,PXE,PZV1L.VS,QTEC,RGI,RHS,RWO,RWX,RXI,RYU,SCA-A.ST,SEB-A.ST,SHOT.ST,SINCH.ST,SWED-A.ST,SWJ.DE,T,TAN,TAO,TEL.PA,TEL1L.VS,TKM1T.TL,TOT,UCI,UPW,VAW,VCR,VDC,VDE,VEA,VFH,VGT,VHT,VIG,VIS,VIT-B.ST,VITR.ST,VNQ,VOLV-B.ST,VOX,VPU,VT,VTI,VWO,WISE.ST,WMT,XBI,XEG.TO,XES,XLE,XLI,XLK,XLU,XLV,XOP,XSER.L,XSNR.L
1999-12-31,,,,,,,,,,,,,,,,6.94,,,,,19.06,,,,107.88,,,,,,,,,,,,,,,,,,,235.58,,,,,,,40.31,,36.44,48.94,58.38,,,,10.31,,,,32.44,,,,,,,,,,,,,,,,,,,48.75,,,,,,34.62,,,,,,,,,,,,,,,,,,,,,,,69.12,,,,27.09,29.61,53.88,28.14,30.89,,,
2000-01-03,,,,32.59,,,,,29.81,,169.28,,,,,6.6,,,,150.0,19.38,,182.27,,116.0,,,,,,,,,,,,,,,,,,,235.58,207.5,,45.0,15.94,,,39.62,,34.25,47.19,58.28,,,,10.38,,,,31.88,,,,,,,,,,,,,,44.49,,,105.46,,47.0,,,,,,33.25,,,,,,,,,,,,,,,,,,,,,,,66.81,,,,26.56,28.84,55.44,27.45,30.3,,,
2000-01-04,,,,31.13,,,,,28.75,,163.47,,,,,6.46,,1.8,,144.0,19.19,,179.74,,112.06,,,,,,,,,,,,,,,,,,,236.37,196.0,,44.0,15.13,,,38.81,,34.5,45.31,56.31,,,,10.25,0.13,,,30.69,,,,,,,,,,,,,,43.47,,,103.81,,44.25,,,,,,32.28,,,,,,,,,,,,,,,,,,,,,,,64.31,,,,26.06,28.05,52.62,26.62,29.61,,,
2000-01-05,,,,30.56,,,,,28.75,,163.47,,,,,6.42,,1.8,,144.0,19.0,,179.74,,116.0,,,,,,,,,,,,,,,,,,,248.54,196.0,,44.0,15.13,,,39.44,,36.62,46.62,56.91,,,,10.19,0.13,,,31.19,,,,,,,,,,,,,,43.47,,,125.5,,44.94,,,,,,32.28,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,26.75,27.92,51.84,27.3,29.34,,,
2000-01-06,,,,40.92,,,,,28.75,,163.47,,,,,6.72,,1.81,,144.0,19.31,,179.74,,114.0,,,,,,,,,,,,,,,,,,,246.57,196.0,,44.0,15.45,,,38.88,,38.0,50.38,55.0,,,,10.31,0.13,,,32.31,,,,,,,,,,,,,,43.47,,,125.5,,43.75,,,,,,31.56,,,,,,,,,,,,,,,,,,,,,,,63.69,,,,27.78,28.3,50.12,27.25,29.44,,,
2000-01-07,,,,31.83,,,,,29.38,,168.31,,,,,7.25,,1.83,,138.5,20.0,,176.79,,113.5,,,,,,,,,,,,,,,,,,,248.54,184.0,,42.1,15.45,,,39.88,,42.25,51.38,55.72,,,,10.5,0.13,,,34.5,,,,,,,,,,,,,,42.69,,,102.15,,44.12,,,,,,31.47,,,,,,,,,,,,,,,,,,,,,,,68.5,,,,28.08,29.38,51.0,27.48,29.8,,,
2000-01-10,,,,32.59,,,,,29.75,,167.34,,,,,6.55,,1.83,,143.0,20.62,,186.07,,118.0,,,,,,,,,,,,,,,,,,,255.21,191.0,,44.5,15.61,,,40.06,,41.94,51.12,56.12,,,,10.69,0.13,,,34.44,,,,,,,,,,,,,,42.95,,,105.88,,44.75,,,,,,31.12,,,,,,,,,,,,,,,,,,,,,,,67.25,,,,27.84,29.38,52.94,27.58,32.84,,,
2000-01-11,,,,32.34,,,,,29.5,,162.51,,,,,6.52,,1.83,,154.0,21.06,,183.96,,119.0,,,,,,,,,,,,,,,,,,,253.25,191.0,,43.0,15.78,,,41.0,,42.12,50.25,54.69,,,,10.72,0.13,,,34.0,,,,,,,,,,,,,,42.95,,,108.77,,44.12,,,,,,31.38,,,,,,,,,,,,,,,,,,,,,,,66.25,,,,27.88,29.0,51.44,27.28,31.97,,,
2000-01-12,,,,32.21,,,,,29.25,,162.51,,,,,6.38,,1.85,,154.0,21.12,,181.43,,119.5,,,,,,,,,,,,,,,,,,,253.25,193.0,,42.5,15.94,,,42.75,,42.06,50.38,52.91,,,,10.78,0.13,,,35.12,,,,,,,,,,,,,,43.47,,,108.77,380.0,41.81,,,,,,30.88,,,,,,,,,,,,,,,,,,,,,,,65.06,,,,27.75,28.66,51.22,27.0,31.44,,,
2000-01-13,,,,32.59,,,,,29.75,,159.12,,,,,6.86,,1.86,,157.5,19.94,,176.79,,118.25,,,,,,,,,,,,,,,,,,,253.25,213.0,,42.0,15.78,,,42.31,,43.5,50.38,53.91,,,,10.78,0.13,,,37.0,,,,,,,,,,,,,,44.24,,,108.77,,40.81,,,,,,30.62,,,,,,,,,,,,,,,,,,,,,,,65.12,,,,28.23,29.2,51.69,26.75,32.38,,,
2000-01-14,,,,32.72,,,,,29.38,,177.98,,,,,7.04,,1.95,,155.0,20.38,,171.3,,119.62,,,,,,,,,,,,,,,,,,,255.21,209.0,,42.1,15.94,,,42.61,,43.88,49.66,56.12,,,,10.84,0.13,,,37.0,,,,,,,,,,,,,,44.49,,,107.53,,42.0,,,,,,31.06,,,,,,,,,,,,,,,,,,,,,,,64.5,,,,28.06,29.0,52.88,26.97,32.09,,,
2000-01-17,,,,32.97,,,,,29.62,,174.11,,,,,,,2.05,,160.5,,,170.88,,,,,,,,,,,,,,,,,,,,,255.21,206.5,,44.0,16.1,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,44.75,,,107.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,,,,32.97,,,,,29.62,,173.15,,,,,6.98,,2.05,,162.0,20.31,,172.99,,115.75,,,,,,,,,,,,,,,,,,,256.39,206.5,,44.2,16.1,,,41.5,,44.38,48.56,57.66,,,,11.0,0.13,,,36.5,,,,,,,,,,,,,,43.98,,,105.88,395.25,41.12,,,,,,31.5,,,,,,,,,,,,,,,,,,,,,,,65.56,,,,28.41,28.97,53.16,26.86,31.5,,,
2000-01-19,,,,32.72,,,,,29.44,,172.18,,,,,6.93,,2.0,,156.25,20.12,,173.83,,119.5,,,,,,,,,,,,,,,,,,,256.39,205.0,,44.0,16.27,,,42.38,,44.94,49.41,53.5,,,,10.91,0.13,,,37.0,,,,,,,,,,,,,,43.72,,,103.81,,40.56,,,,,,32.06,,,,,,,,,,,,,,,,,,,,,,,64.06,,,,28.31,28.88,53.25,26.88,32.25,,,
2000-01-20,,,,32.34,,,,,29.12,,181.85,,,,,7.06,,2.0,,157.5,20.06,,169.62,,119.0,,,,,,,,,,,,,,,,,,,256.39,210.0,,44.0,15.94,,,42.56,,44.0,47.56,53.0,,,,10.88,0.13,,,36.39,,,,,,,,,,,,,,43.47,,,103.39,,41.0,,,,,,32.75,,,,,,,,,,,,,,,,,,,,,,,63.38,,,,28.31,28.69,53.56,27.0,32.0,,,
2000-01-21,,,,31.96,,,,,28.12,,198.29,,,,,8.03,,2.0,,160.5,20.0,,179.32,,121.5,,,,,,,,,,,,,,,,,,,256.39,214.0,,44.1,15.45,,,41.06,,43.56,47.47,51.88,,,,10.84,0.13,,,35.06,,,,,,,,,,,,,,43.21,,,103.81,,43.0,,,,,,33.09,,,,,,,,,,,,,,,,,,,,,,,62.44,,,,29.09,28.33,53.62,27.88,31.94,,,
2000-01-24,,,,31.2,,,,,28.0,,203.13,,,,,8.0,,2.02,,159.75,19.88,,174.26,,121.5,,,,,,,,,,,,,,,,,,,256.0,224.0,,44.0,15.61,,,39.5,,43.06,46.38,50.62,,,,10.88,0.13,,,34.38,,,,,,,,,,,,,,42.95,,,100.09,,42.0,,,,,,33.5,,,,,,,,,,,,,,,,,,,,,,,59.38,,,,28.06,27.52,51.88,27.5,30.98,,,
2000-01-25,,,,29.48,,,,,27.38,,214.74,,,,,7.63,,2.02,,165.5,19.62,,170.04,,119.12,,,,,,,,,,,,,,,,,,,255.21,215.0,,45.0,16.1,,,39.81,,44.56,45.69,51.41,,,,10.97,0.13,,,34.88,,,,,,,,,,,,,,41.67,,,99.67,384.99,40.0,,,,,,33.03,,,,,,,,,,,,,,,,,,,,,,,61.12,,,,28.0,27.36,52.98,26.86,31.2,,,
2000-01-26,,,,30.43,,,,,27.25,,235.05,,,,,7.5,,2.02,,165.75,19.94,,170.04,,116.75,,,,,,,,,,,,,,,,,,,255.21,217.0,,47.8,15.94,,,35.75,,46.12,48.16,49.69,,,,10.75,0.13,,,34.88,,,,,,,,,,,,,,41.41,,,100.09,,40.0,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,,,61.94,,,,27.56,27.58,51.25,26.73,31.06,,,
2000-01-27,,,,30.37,,,,,27.5,,241.82,,,,,7.5,,2.03,,156.75,19.75,,168.77,,113.5,,,,,,,,,,,,,,,,,,,255.21,206.0,,46.0,16.1,,,37.62,,46.44,48.12,49.38,,,,10.94,0.13,,,34.5,,,,,,,,,,,,,,42.18,,,100.5,,39.0,,,,,,31.78,,,,,,,,,,,,,,,,,,,,,,,59.12,,,,27.0,27.73,50.75,26.56,30.88,,,
2000-01-28,,,,29.48,,,,,28.38,,256.33,,,,,7.49,,2.04,,142.5,19.5,,166.66,,111.56,,,,,,,,,,,,,,,,,,,255.21,200.0,,45.1,16.1,,,36.75,,44.81,46.12,49.12,,,,10.84,0.13,,,35.19,,,,,,,,,,,,,,41.15,,,100.91,,39.25,,,,,,31.03,,,,,,,,,,,,,,,,,,,,,,,55.12,,,,26.69,27.0,48.94,26.42,30.25,,,
2000-01-31,,,,28.22,,,,,28.0,,263.1,,,,,7.5,,2.06,,135.0,19.56,,158.22,,112.25,,,,,,,,,,,,,,,,,,,254.03,190.0,,47.5,15.94,,,37.38,,45.75,46.81,48.94,,,,10.62,0.13,,,36.19,,,,,,,,,,,,,,40.12,,,97.19,,42.88,,,,,,31.12,,,,,,,,,,,,,,,,,,,,,,,54.75,,,,27.31,27.19,50.56,27.64,30.11,,,
2000-02-01,,,,28.22,,,,,28.25,,275.68,,,,,7.58,,2.06,,144.25,19.62,,160.33,,110.0,,,,,,,,,,,,,,,,,,,252.46,195.0,,46.0,15.78,,,36.62,,46.38,47.06,51.47,,,,10.81,0.13,,,37.0,,,,,,,,,,,,,,40.38,,,99.26,384.99,42.38,,,,,,32.03,,,,,,,,,,,,,,,,,,,,,,,58.69,,,,27.25,27.0,51.62,27.44,30.5,,,
2000-02-02,,,,29.17,,,,,28.75,,256.33,,,,,7.56,,2.04,,143.0,19.75,,172.15,,113.5,,,,,,,,,,,,,,,,,,,250.5,191.0,,45.0,15.45,,,35.5,,45.0,46.25,50.41,,,,10.78,0.13,,,36.0,,,,,,,,,,,,,,41.15,,,102.57,384.99,42.5,,,,,,32.31,,,,,,,,,,,,,,,,,,,,,,,58.38,,,,27.42,27.02,52.0,27.3,31.25,,,
2000-02-03,,,,28.91,,,,,29.06,,267.94,,,,,7.56,,2.05,,137.0,19.94,,170.46,,117.12,,,,,,,,,,,,,,,,,,,248.14,212.0,,44.1,15.61,,,35.0,,45.75,45.84,51.81,,,,10.81,0.13,,,35.62,,,,,,,,,,,,,,41.15,,,99.26,384.99,42.0,,,,,,32.91,,,,,,,,,,,,,,,,,,,,,,,58.38,,,,27.09,27.0,53.5,27.25,31.53,,,
2000-02-04,,,,28.66,,,,,28.75,,295.02,,,,,8.25,,2.04,,134.5,19.88,,162.02,,115.62,,,,,,,,,,,,,,,,,,,248.14,200.0,,44.1,15.45,,,35.12,,48.06,44.53,53.28,,,,10.78,0.13,,,35.75,,,,,,,,,,,,,,40.38,,,98.85,384.99,42.0,,,,,,32.78,,,,,,,,,,,,,,,,,,,,,,,56.31,,,,26.31,27.11,54.12,27.11,31.64,,,
2000-02-07,,,,28.91,,,,,29.62,,299.86,,,,,7.77,,2.01,,131.5,19.5,,172.99,,114.12,,,,,,,,,,,,,,,,,,,248.14,280.0,,44.3,15.29,,,34.94,,49.25,43.81,53.31,,,,10.75,0.13,,,37.0,,,,,,,,,,,,,,40.38,,,99.26,363.0,41.88,,,,,,33.25,,,,,,,,,,,,,,,,,,,,,,,55.75,,,,26.61,26.64,54.75,27.03,31.12,,,
2000-02-08,,,,28.91,,,,,30.62,,291.15,,,,,8.22,,2.02,,138.5,19.12,,170.04,,118.81,,,,,,,,,,,,,,,,,,,245.4,271.0,,43.7,15.45,,,36.31,,49.62,43.84,54.97,,,,10.69,0.12,,,37.81,,,,,,,,,,,,,,41.41,,,99.26,,42.06,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,26.38,26.75,55.25,27.09,31.47,,,
2000-02-09,,,,28.53,,,,,30.88,,283.42,,,,,7.75,,2.02,,138.5,19.12,,164.13,,117.38,,,,,,,,,,,,,,,,,,,245.4,250.0,,43.6,15.45,,,35.88,,48.88,43.81,52.0,,,,10.75,0.12,,,36.12,,,,,,,,,,,,,,43.21,,,100.91,,42.62,,,,,,35.75,,,,,,,,,,,,,,,,,,,,,,,57.81,,,,25.5,26.47,54.56,27.09,30.91,,,
2000-02-10,,,,28.53,,,,,30.88,,270.84,,,,,7.49,,2.02,,138.75,19.81,,167.08,,119.12,,,,,,,,,,,,,,,,,,,243.43,234.5,,43.9,15.29,,,35.5,,48.0,43.0,53.0,,,,10.66,0.12,,,35.0,,,,,,,,,,,,,,43.47,,,102.98,,42.12,,,,,,35.09,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,26.03,26.02,55.86,26.7,30.64,,,
2000-02-11,,,,27.01,,,,,30.62,,275.68,,,,,7.08,,2.0,,141.75,19.69,,159.49,,115.38,,,,,,,,,,,,,,,,,,,241.08,236.0,,43.8,15.61,,,34.94,,46.0,41.47,49.97,,,,10.66,0.12,,,35.0,,,,,,,,,,,,,,43.21,,,101.33,,40.44,,,,,,33.31,,,,,,,,,,,,,,,,,,,,,,,56.06,,,,25.72,25.47,54.38,26.23,30.66,,,
2000-02-14,,,,27.07,,,,,31.0,,280.51,,,,,7.95,,2.0,,146.0,19.62,,151.47,,116.06,,,,,,,,,,,,,,,,,,,241.08,232.0,,43.0,15.45,,,33.88,,46.38,41.44,49.81,,,,10.53,0.12,,,35.0,,,,,,,,,,,,,,42.69,,,99.67,,40.88,,,,,,33.22,,,,,,,,,,,,,,,,,,,,,,,58.88,,,,26.12,25.88,54.41,26.27,30.09,,,
