,VT,VTI,VIG,VEA,VWO,BND,UCI,GLD,SWED-A.ST,VOLV-B.ST,LIFCO-B.ST,VIT-B.ST,IAR-B.ST,SINCH.ST,ELAN-B.ST,ALFA.ST,INDT.ST,HUSQ-B.ST,LAMM-B.ST,CLAS-B.ST,MCAP.ST,BRE2.ST,INWI.ST,BETS-B.ST,SHOT.ST,KNOW.ST,EVO.ST,SEB-A.ST,ASPIRE.ST,PDX.ST,CTM.ST,HM-B.ST,VITR.ST,BOL.ST,KAMBI.ST,HUM.ST,SCA-A.ST,ATCO-A.ST,WISE.ST,GLOBAL.ST,NTU1L.VS,PZV1L.VS,NCN1T.TL,GRG1L.VS,TKM1T.TL,TEL1L.VS,APG1L.VS,GZE1R.RG,OLF1R.RG,MDARA.RG,PFE,MSFT,IBM,O,MMM,T,MCD,GNTX,KIE.L,SWJ.DE,TOT,LI.PA,HPT,MDT,WMT,VAW,IYM,MXI,RXI,PEZ,VCR,VFH,IYG,IXG,VNQ,TAO,RWX,RWO,VDC,KXI,RHS,VHT,IYH,IXJ,IHI,PTH,HLT.PA,XBI,XLV,XLU,IDU,VPU,PUI,JXI,RYU,UPW,VOX,IYZ,TEL.PA,XLE,VDE,IYE,XEG.TO,IXC,PXE,XOP,XES,XSER.L,TAN,XLI,VIS,IYT,ITA,EXI,RGI,XSNR.L,XLK,IYW,VGT,IGV,QTEC,PSI
Basic Materials,0.050499999999999996,0.0271,0.0463,0.08259999999999999,0.07730000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8354,0.9823999999999999,0.9196,0.0,0.0,0.0017000000000000001,0.0,0.0,0.0001,0.0028000000000000004,0.0,0.0,0.0,0.0021,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.005600000000000001,0.0054,0.0,0.0,0.0,0.005600000000000001,0.0,0.0,0.0,0.0,0.005,0.0006,0.0,0.0017000000000000001,0.0,0.0043,0.0483,0.0,0.0,0.0053,0.0175,0.0,0.0,0.0286,0.0154,0.0037,0.0,0.001,0.0009,0.0,0.0,0.0
CONSUMER_CYCLICAL,0.11900000000000001,0.1217,0.10490000000000001,0.11380000000000001,0.11599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1412,0.0024,0.0635,0.9059,0.7545000000000001,0.9204000000000001,0.0,0.0,0.0002,0.0,0.004,0.0,0.0,0.004,0.0095,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009899999999999999,0.021,0.0,0.0,0.0223,0.0286,0.0274,0.0,0.006999999999999999,0.0006,0.0,0.0,0.0
Financial Services,0.17329999999999998,0.1536,0.1192,0.1812,0.24710000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811,0.9990000000000001,0.9986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.029300000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005699999999999999,0.0,0.011399999999999999,0.1321,0.0,0.10949999999999999,0.0,0.0,0.0
Realestate,0.0412,0.0426,0.0,0.0408,0.042300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.018000000000000002,0.0,0.0,0.9154000000000001,0.9588,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068000000000000005,0.0,0.0,0.0,0.0034999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398,0.0,0.0078000000000000005,0.0,0.0,0.0023,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0
Consumer Defensive,0.08539999999999999,0.0741,0.16269999999999998,0.1097,0.0711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0405,0.022400000000000003,0.0588,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.9923000000000001,0.9904999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
Healthcare,0.113,0.1352,0.1284,0.1039,0.0323,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0051,0.0095,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9795,0.9974,0.9954999999999999,0.9991,0.945,0.9934000000000001,1.0,0.9934000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0
Utilities,0.0341,0.0339,0.06,0.035,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9901000000000001,0.9904999999999999,0.961,0.9901000000000001,1.0,0.9901000000000001,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.024300000000000002,0.2747,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communication Services,0.0363,0.034,0.0368,0.0353,0.0461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06570000000000001,0.0040999999999999995,0.0,0.0,0.0,0.08130000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2898,0.4583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0003,0.0,0.0,0.0
Energy,0.051,0.040999999999999995,0.0,0.060899999999999996,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0040999999999999995,0.039,0.0,0.0,0.0043,0.0,0.0,0.0,1.0,0.9903,0.988,1.0,0.9983,1.0,0.9956999999999999,0.9431999999999999,0.9353,0.0,0.0,0.0008,0.0,0.0,0.0085,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0
Industrials,0.1114,0.1069,0.23070000000000002,0.1409,0.0567,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184,0.008100000000000001,0.0118,0.0024,0.036000000000000004,0.0066,0.0008,0.001,0.0001,0.0004,0.037200000000000004,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009899999999999999,0.0,0.0,0.0006,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0085,0.0403,0.0,0.9545999999999999,0.9147,1.0,0.8835999999999999,0.9064,0.9266,0.8845000000000001,0.06,0.0031,0.0608,0.0013,0.0,0.0
